timestamp,household_id,water_usage,pressure
2024-06-26 19:05:27.106698,7cc04354-8a85-4b68-98a3-a2e02ee4010b,7.52,52.19
2024-06-26 20:05:27.106698,7cc04354-8a85-4b68-98a3-a2e02ee4010b,8.46,49.97
2024-06-26 21:05:27.106698,7cc04354-8a85-4b68-98a3-a2e02ee4010b,10.58,42.42
2024-06-26 22:05:27.106698,7cc04354-8a85-4b68-98a3-a2e02ee4010b,10.81,54.53
2024-06-26 23:05:27.106698,7cc04354-8a85-4b68-98a3-a2e02ee4010b,9.55,45.67
2024-06-27 00:05:27.106698,7cc04354-8a85-4b68-98a3-a2e02ee4010b,11.97,57.73
2024-06-27 01:05:27.106698,7cc04354-8a85-4b68-98a3-a2e02ee4010b,6.98,48.56
2024-06-27 02:05:27.106698,7cc04354-8a85-4b68-98a3-a2e02ee4010b,11.77,58.12
2024-06-27 03:05:27.106698,7cc04354-8a85-4b68-98a3-a2e02ee4010b,15.86,48.02
2024-06-27 04:05:27.106698,7cc04354-8a85-4b68-98a3-a2e02ee4010b,13.18,53.89
2024-06-27 05:05:27.106698,7cc04354-8a85-4b68-98a3-a2e02ee4010b,13.86,53.77
2024-06-27 06:05:27.106698,7cc04354-8a85-4b68-98a3-a2e02ee4010b,12.81,43.38
2024-06-27 07:05:27.106698,7cc04354-8a85-4b68-98a3-a2e02ee4010b,14.82,41.43
2024-06-27 08:05:27.106698,7cc04354-8a85-4b68-98a3-a2e02ee4010b,9.4,44.05
2024-06-27 09:05:27.106698,7cc04354-8a85-4b68-98a3-a2e02ee4010b,3.78,59.88
2024-06-27 10:05:27.106698,7cc04354-8a85-4b68-98a3-a2e02ee4010b,7.32,56.22
2024-06-27 11:05:27.106698,7cc04354-8a85-4b68-98a3-a2e02ee4010b,12.48,48.01
2024-06-27 12:05:27.106698,7cc04354-8a85-4b68-98a3-a2e02ee4010b,10.59,42.18
2024-06-27 13:05:27.106698,7cc04354-8a85-4b68-98a3-a2e02ee4010b,11.76,41.79
2024-06-27 14:05:27.106698,7cc04354-8a85-4b68-98a3-a2e02ee4010b,10.59,48.01
2024-06-27 15:05:27.106698,7cc04354-8a85-4b68-98a3-a2e02ee4010b,12.8,42.56
2024-06-27 16:05:27.106698,7cc04354-8a85-4b68-98a3-a2e02ee4010b,8.65,49.32
2024-06-27 17:05:27.106698,7cc04354-8a85-4b68-98a3-a2e02ee4010b,9.76,47.57
2024-06-27 18:05:27.106698,7cc04354-8a85-4b68-98a3-a2e02ee4010b,10.81,42.45
2024-06-27 19:05:27.106698,7cc04354-8a85-4b68-98a3-a2e02ee4010b,7.86,55.78
2024-06-27 20:05:27.106698,7cc04354-8a85-4b68-98a3-a2e02ee4010b,4.83,41.04
2024-06-27 21:05:27.106698,7cc04354-8a85-4b68-98a3-a2e02ee4010b,16.46,46.15
2024-06-27 22:05:27.106698,7cc04354-8a85-4b68-98a3-a2e02ee4010b,9.35,41.18
2024-06-27 23:05:27.106698,7cc04354-8a85-4b68-98a3-a2e02ee4010b,9.55,51.69
2024-06-28 00:05:27.106698,7cc04354-8a85-4b68-98a3-a2e02ee4010b,12.44,44.64
2024-06-28 01:05:27.106698,7cc04354-8a85-4b68-98a3-a2e02ee4010b,13.26,44.6
2024-06-28 02:05:27.106698,7cc04354-8a85-4b68-98a3-a2e02ee4010b,13.05,50.74
2024-06-28 03:05:27.106698,7cc04354-8a85-4b68-98a3-a2e02ee4010b,6.77,51.76
2024-06-28 04:05:27.106698,7cc04354-8a85-4b68-98a3-a2e02ee4010b,9.58,55.14
2024-06-28 05:05:27.106698,7cc04354-8a85-4b68-98a3-a2e02ee4010b,5.57,46.11
2024-06-28 06:05:27.106698,7cc04354-8a85-4b68-98a3-a2e02ee4010b,11.52,48.78
2024-06-28 07:05:27.106698,7cc04354-8a85-4b68-98a3-a2e02ee4010b,5.92,51.03
2024-06-28 08:05:27.106698,7cc04354-8a85-4b68-98a3-a2e02ee4010b,12.79,42.6
2024-06-28 09:05:27.106698,7cc04354-8a85-4b68-98a3-a2e02ee4010b,10.79,56.18
2024-06-28 10:05:27.106698,7cc04354-8a85-4b68-98a3-a2e02ee4010b,9.11,45.26
2024-06-28 11:05:27.106698,7cc04354-8a85-4b68-98a3-a2e02ee4010b,11.73,53.3
2024-06-28 12:05:27.106698,7cc04354-8a85-4b68-98a3-a2e02ee4010b,9.41,42.75
2024-06-28 13:05:27.106698,7cc04354-8a85-4b68-98a3-a2e02ee4010b,6.96,50.98
2024-06-28 14:05:27.106698,7cc04354-8a85-4b68-98a3-a2e02ee4010b,8.97,45.93
